지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
192,진주,2016-01-27,-1.1,-8.1,719,8.4,1507,,,,,,,5.8,140,1521,3,140,1532,.6,560,320,-7.9,28,1555,63.1,3.4,1026.1,1031.1,1136,1028.5,1451,1030,10.3,8,1300,1.37,7.35,,,,,,,,.2,-11.9,,,,,,,,,,,,,,
192,진주,2016-01-28,.9,-4.6,1,4,1332,,,,,,19.4,6.8,50,2057,2.8,50,1352,.9,758,20,-4.3,37,1403,69.5,4.5,1024.1,1031.1,1,1025.1,2400,1028,10.4,0,1100,.18,1.12,,,,,,,,.1,-8.5,,,,,,,,,,,,29.1,,
192,진주,2016-01-29,3.1,1.7,1,3.8,1155,,,,,,14.1,6.8,360,1220,3.7,20,1336,1.5,1320,360,.5,80,2358,83.5,6.3,1019.5,1025.1,1,1021.5,1353,1023.3,10.4,0,1100,.27,1.39,,,,,,,,2.4,1.1,,,,,,,,,,,,4.4,,
192,진주,2016-01-30,3.7,-1.6,2342,7.5,1413,,,,,,,6.2,20,141,2.8,360,1051,1.2,1036,360,-.4,60,1415,75.1,5.9,1021.3,1027.5,2328,1023,18,1025.1,10.4,.1,1300,.79,3.5,,,,,,,,4.1,-5.4,,,,,,,,,,,,,,
192,진주,2016-01-31,1.4,-3.4,801,6.7,1420,,,,,,,6,340,1711,3.3,340,1716,1,867,340,-7.9,27,1501,56.3,3.5,1023.3,1028.6,2251,1024.6,1506,1027.2,10.4,6.8,1200,1.15,6.63,,,,,,,,2.9,-3.9,,,,,,,,,,,,,,
192,진주,2016-02-01,-.6,-4.1,2359,5,1347,,,,,,,8.6,360,1528,4.3,360,1437,1.3,1147,360,-12.4,17,1430,43.9,2.4,1023.1,1029,852,1024.6,1424,1027,10.5,9.1,1200,1.57,9.56,,,,,,,,2.3,-8.2,,,,,,,,,,,,,,
192,진주,2016-02-02,-2.3,-9.1,725,6.2,1519,,,,,,,4.2,90,933,2.5,90,1025,.8,651,50,-13.7,13,1508,47.5,2.2,1022.8,1028.7,926,1024.5,1534,1026.7,10.5,9.5,1200,1.6,10.4,,,,,,,,1.2,-12,,,,,,,,,,,,,,
192,진주,2016-02-03,-1.7,-9.3,720,7.7,1600,,,,,,,4.5,250,1632,2.2,230,1628,.6,529,270,-10.2,20,1518,57.1,2.8,1023.4,1029.3,900,1024.8,1500,1027.3,10.5,9.5,1200,1.57,10.32,,,,,,,,1.3,-13.3,,,,,,,,,,,,,,
192,진주,2016-02-04,-.2,-7.7,659,7.7,1536,,,,,,,7,340,2158,3.5,360,2148,.7,590,360,-10,20,1523,53.4,2.9,1021.5,1028.1,1,1022.5,1607,1025.3,10.6,6.3,1300,1.09,6.6,,,,,,,,1,-11.6,,,,,,,,,,,,,,
192,진주,2016-02-05,1.3,-6.5,733,9.6,1457,,,,,,,5.9,340,1645,2.9,340,1803,1,874,320,-12.6,10,1531,44.4,2.5,1018.8,1025.2,231,1019.9,1541,1022.6,10.6,9.6,1200,1.58,10.32,,,,,,,,2.4,-10.6,,,,,,,,,,,,,,
192,진주,2016-02-06,-.3,-6.7,631,5.9,1514,,,,,,,8.4,340,1556,4.7,360,1612,1.7,1437,360,-11,23,1434,48.3,2.7,1018.5,1024.9,2359,1020,1524,1022.3,10.6,9.7,1200,1.58,10.4,,,,,,,,2,-10.9,,,,,,,,,,,,,,
192,진주,2016-02-07,-1.6,-8.8,656,7.1,1447,,,,,,,4.8,200,1536,2.6,180,1614,.7,598,290,-11.7,21,1451,50.9,2.5,1018.4,1025,123,1019.5,1610,1022.3,10.6,9.7,1200,1.61,10.56,,,,,,,,1.8,-12.1,,,,,,,,,,,,,,
192,진주,2016-02-08,1.9,-8.6,704,8.5,1608,,,,,,,8.1,230,1355,4.6,250,1742,1.7,1437,250,-9.6,20,1734,47.6,3,1014.7,1021.6,845,1015.8,2347,1018.5,10.7,9.7,1200,1.55,9.7,,,,,,,,1.6,-11.9,,,,,,,,,,,,,,
